sku,name,category,stock_qty,cost_price,supplier,last_updated
SKU-1001,机油滤清器 OCF-552,滤清器,320,12.5,华东汽配供应链,2026-08-29
SKU-1002,空气滤芯 AAF-341,滤清器,180,28.0,华东汽配供应链,2026-08-26
SKU-1003,空调滤芯 CAC-118,滤清器,260,35.5,华东汽配供应链,2026-08-20
SKU-1004,燃油滤清器 FFL-209,滤清器,95,22.0,华南滤清器厂,2026-08-18
SKU-1005,前刹车片 陶瓷版,制动,140,85.0,赛威制动科技,2026-08-25
SKU-1006,后刹车片 半金属版,制动,160,72.0,赛威制动科技,2026-08-22
SKU-1007,刹车盘 打孔划线,制动,48,158.0,赛威制动科技,2026-08-21
SKU-1008,火花塞 铱金,点火,420,45.0,蓝擎点火系统,2026-08-29
SKU-1009,火花塞 镍合金,点火,600,18.0,蓝擎点火系统,2026-08-29
SKU-1010,点火线圈,点火,86,120.0,蓝擎点火系统,2026-08-25
SKU-1011,正时皮带套装,传动,64,260.0,力士传动,2026-08-22
SKU-1012,发电机皮带,传动,130,68.0,力士传动,2026-08-17
SKU-1013,雨刮片 无骨 24寸,易损件,520,25.0,洁风汽车用品,2026-08-19
SKU-1014,雨刮片 无骨 16寸,易损件,480,22.0,洁风汽车用品,2026-08-17
SKU-1015,防冻液 红色 4L,养护,350,39.0,护驰化学,2026-08-18
SKU-1016,机油 5W-30 4L,养护,410,129.0,护驰化学,2026-08-26
SKU-1017,机油 0W-20 4L,养护,280,149.0,护驰化学,2026-08-23
SKU-1018,转向助力油 1L,养护,120,42.0,护驰化学,2026-08-23
SKU-1019,电池 60Ah 免维护,电气,55,380.0,力源电池,2026-08-19
SKU-1020,电池 45Ah 免维护,电气,62,320.0,力源电池,2026-08-26
SKU-1021,轮毂轴承 前,底盘,40,210.0,捷驰轴承,2026-08-24
SKU-1022,减震器 前左,底盘,28,430.0,捷驰轴承,2026-08-21
SKU-1023,减震器 前右,底盘,30,430.0,捷驰轴承,2026-08-29
SKU-1024,下摆臂 左,底盘,22,165.0,捷驰轴承,2026-08-24
SKU-1025,球笼防尘套,底盘,210,15.0,捷驰轴承,2026-08-21
SKU-1026,大灯灯泡 H7,照明,340,19.0,明辉照明,2026-08-20
SKU-1027,雾灯灯泡 H11,照明,260,21.0,明辉照明,2026-08-18
SKU-1028,尾灯总成 右,照明,15,260.0,明辉照明,2026-08-17
SKU-1029,玻璃水 2L 冬季型,养护,800,12.0,洁风汽车用品,2026-08-23
SKU-1030,空调制冷剂 R134a,空调,110,32.0,冷动力科技,2026-08-22
SKU-1031,轮胎 205/55R16,轮胎,76,520.0,里程轮胎,2026-08-16
SKU-1032,轮胎 225/45R17,轮胎,58,680.0,里程轮胎,2026-08-27
