sensor_id,device_name,metric,reading,unit,ts,status
S-001,注塑机#1,temperature,231.15,摄氏度,2026-08-20 00:00:00,正常
S-002,注塑机#1,pressure,15.42,MPa,2026-08-20 00:47:00,正常
S-003,注塑机#2,temperature,197.86,摄氏度,2026-08-20 01:34:00,正常
S-004,注塑机#2,pressure,16.24,MPa,2026-08-20 02:21:00,预警
S-005,CNC加工中心#1,spindle_speed,3697.71,rpm,2026-08-20 03:08:00,正常
S-006,CNC加工中心#1,spindle_temp,31.11,摄氏度,2026-08-20 03:55:00,正常
S-007,CNC加工中心#1,vibration,1.25,mm/s,2026-08-20 04:42:00,正常
S-008,CNC加工中心#2,spindle_speed,7273.32,rpm,2026-08-20 05:29:00,正常
S-009,CNC加工中心#2,spindle_temp,40.66,摄氏度,2026-08-20 06:16:00,正常
S-010,冲压机#1,pressure,83.33,MPa,2026-08-20 07:03:00,正常
S-011,冲压机#1,stroke_count,27.68,次/min,2026-08-20 07:50:00,正常
S-012,冲压机#2,pressure,103.12,MPa,2026-08-20 08:37:00,正常
S-013,空压机#1,air_pressure,0.78,MPa,2026-08-20 09:24:00,正常
S-014,空压机#1,temperature,33.34,摄氏度,2026-08-20 10:11:00,正常
S-015,装配线#1,current,24.14,A,2026-08-20 10:58:00,预警
S-016,装配线#1,belt_speed,0.79,m/s,2026-08-20 11:45:00,正常
S-017,注塑机#1,temperature,187.74,摄氏度,2026-08-20 12:32:00,正常
S-018,注塑机#1,pressure,14.04,MPa,2026-08-20 13:19:00,正常
S-019,注塑机#2,temperature,262.22,摄氏度,2026-08-20 14:06:00,预警
S-020,注塑机#2,pressure,9.71,MPa,2026-08-20 14:53:00,正常
S-021,CNC加工中心#1,spindle_speed,3472.8,rpm,2026-08-20 15:40:00,正常
S-022,CNC加工中心#1,spindle_temp,64.93,摄氏度,2026-08-20 16:27:00,预警
S-023,CNC加工中心#1,vibration,4.01,mm/s,2026-08-20 17:14:00,正常
S-024,CNC加工中心#2,spindle_speed,6464.11,rpm,2026-08-20 18:01:00,正常
S-025,CNC加工中心#2,spindle_temp,31.6,摄氏度,2026-08-20 18:48:00,正常
S-026,冲压机#1,pressure,104.11,MPa,2026-08-20 19:35:00,正常
S-027,冲压机#1,stroke_count,35.66,次/min,2026-08-20 20:22:00,正常
S-028,冲压机#2,pressure,80.44,MPa,2026-08-20 21:09:00,正常
S-029,空压机#1,air_pressure,0.75,MPa,2026-08-20 21:56:00,正常
S-030,空压机#1,temperature,29.88,摄氏度,2026-08-20 22:43:00,正常
S-031,装配线#1,current,9.19,A,2026-08-20 23:30:00,正常
S-032,装配线#1,belt_speed,2.25,m/s,2026-08-21 00:17:00,正常
S-033,注塑机#1,temperature,228.73,摄氏度,2026-08-21 01:04:00,正常
S-034,注塑机#1,pressure,13.34,MPa,2026-08-21 01:51:00,正常
S-035,注塑机#2,temperature,202.73,摄氏度,2026-08-21 02:38:00,正常
S-036,注塑机#2,pressure,11.77,MPa,2026-08-21 03:25:00,正常
S-037,CNC加工中心#1,spindle_speed,4317.69,rpm,2026-08-21 04:12:00,正常
S-038,CNC加工中心#1,spindle_temp,59.5,摄氏度,2026-08-21 04:59:00,预警
S-039,CNC加工中心#1,vibration,1.18,mm/s,2026-08-21 05:46:00,正常
S-040,CNC加工中心#2,spindle_speed,8221.79,rpm,2026-08-21 06:33:00,预警
S-041,CNC加工中心#2,spindle_temp,39.37,摄氏度,2026-08-21 07:20:00,正常
S-042,冲压机#1,pressure,125.31,MPa,2026-08-21 08:07:00,报警
